v8-version,5,1,281,111,0
code-creation,Stub,3,0x2b1e55a2a0c0,743,"FastNewContextStub"
code-creation,Handler,4,0x2b1e55a2a3c0,120,"An IC handler from the snapshot"
code-creation,Handler,4,0x2b1e55a2a440,120,"An IC handler from the snapshot"
code-creation,Stub,3,0x2b1e55a2a4c0,483,"FastNewObjectStub"
code-creation,Handler,4,0x2b1e55a2a6c0,120,"An IC handler from the snapshot"
code-creation,Stub,15,0x2b1e55a2a740,212,"BinaryOpICStub"
code-creation,Handler,4,0x2b1e55a2a820,112,"An IC handler from the snapshot"
code-creation,Stub,15,0x2b1e55a2a8a0,332,"BinaryOpICStub"
code-creation,Stub,16,0x2b1e55a2aa00,194,"CompareICStub"
code-creation,Stub,3,0x2b1e55a2aae0,391,"FastNewContextStub"
code-creation,Stub,3,0x2b1e55a2ac80,652,"TypeofStub"
code-creation,Stub,15,0x2b1e55a2af20,284,"BinaryOpICStub"
code-creation,Stub,15,0x2b1e55a2b040,212,"BinaryOpICStub"
code-creation,Stub,15,0x2b1e55a2b120,320,"BinaryOpICStub"
code-creation,Stub,15,0x2b1e55a2b260,224,"BinaryOpICStub"
code-creation,Stub,15,0x2b1e55a2b340,151,"BinaryOpICStub"
code-creation,Stub,15,0x2b1e55a2b3e0,224,"BinaryOpICStub"
code-creation,Stub,15,0x2b1e55a2b4c0,276,"BinaryOpICStub"
code-creation,StoreIC,13,0x2b1e55a2b5e0,528,"A store IC from the snapshot"
code-creation,Stub,15,0x2b1e55a2b800,204,"BinaryOpICStub"
code-creation,Handler,4,0x2b1e55a2b8e0,120,"An IC handler from the snapshot"
code-creation,Stub,15,0x2b1e55a2b960,467,"BinaryOpICStub"
code-creation,Stub,15,0x2b1e55a2bb40,224,"BinaryOpICStub"
code-creation,Stub,15,0x2b1e55a2bc20,415,"BinaryOpICStub"
code-creation,Stub,3,0x2b1e55a2bdc0,116,"StubFailureTrampolineStub"
